               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077124,            0.044576,            0.040391,              0.4739,             0.54718,             0.47849,             0.23919,            0.032305,            0.019066,            0.020679,            0.070108,           0.0033214,           0.0033214
                   1,            0.053943,            0.030772,            0.022401,             0.52349,             0.67908,              0.6346,             0.31279,             0.03429,            0.015094,            0.011497,            0.039976,            0.006523,            0.006523
                   2,            0.050922,            0.028417,            0.015751,             0.71409,             0.81899,              0.8278,             0.47318,            0.024966,            0.014605,             0.01062,            0.009712,           0.0095925,           0.0095925
                   3,            0.044033,            0.026733,            0.012355,             0.86219,             0.90874,             0.91623,              0.5639,            0.021208,            0.013704,           0.0074772,            0.009406,            0.009406,            0.009406
                   4,            0.038411,            0.026964,            0.010495,             0.84225,             0.88736,             0.91904,             0.59417,            0.020473,            0.013315,            0.005237,            0.009406,            0.009406,            0.009406
                   5,            0.034637,            0.024655,           0.0080958,             0.88114,             0.91116,             0.92739,             0.65082,            0.018377,            0.012915,           0.0044402,            0.009208,            0.009208,            0.009208
                   6,            0.032498,            0.025345,            0.008444,             0.90497,             0.91398,             0.94081,             0.65445,            0.017199,            0.012928,           0.0038975,             0.00901,             0.00901,             0.00901
                   7,            0.032029,              0.0247,           0.0067402,               0.827,             0.90765,             0.92307,             0.66839,            0.016262,            0.012905,           0.0076946,            0.008812,            0.008812,            0.008812
                   8,            0.030848,             0.02466,           0.0063485,             0.91213,               0.926,             0.95254,             0.68361,            0.015637,            0.012261,           0.0030791,            0.008614,            0.008614,            0.008614
                   9,            0.029312,            0.024122,           0.0055135,             0.90636,             0.90359,             0.94405,             0.69917,            0.016277,            0.012386,           0.0035888,            0.008416,            0.008416,            0.008416
                  10,            0.028461,            0.023478,           0.0061966,             0.90214,             0.94068,             0.94837,             0.71276,            0.015242,            0.012053,           0.0031209,            0.008218,            0.008218,            0.008218
                  11,            0.028118,            0.023388,           0.0049118,             0.92882,             0.93671,             0.96264,              0.7391,            0.015425,            0.011794,           0.0026611,             0.00802,             0.00802,             0.00802
                  12,            0.027119,            0.023742,           0.0047792,             0.91179,             0.96188,             0.96456,             0.73346,             0.01477,            0.011902,           0.0030878,            0.007822,            0.007822,            0.007822
                  13,            0.026406,            0.023231,           0.0045512,             0.92159,             0.95074,             0.95764,             0.73664,            0.014648,            0.011572,           0.0024253,            0.007624,            0.007624,            0.007624
                  14,             0.02577,            0.022207,           0.0043166,             0.91257,             0.93021,             0.95951,             0.74654,              0.0135,            0.011337,            0.002824,            0.007426,            0.007426,            0.007426
                  15,            0.025378,            0.022278,           0.0044392,             0.90701,             0.93549,             0.94834,               0.724,            0.015397,            0.011726,           0.0021227,            0.007228,            0.007228,            0.007228
                  16,            0.024548,            0.021411,           0.0039703,             0.90774,             0.93395,             0.95287,             0.73611,            0.014181,            0.011689,           0.0028088,             0.00703,             0.00703,             0.00703
                  17,            0.024455,            0.022245,           0.0039584,             0.90633,             0.93896,             0.95697,             0.73053,            0.014039,            0.011257,           0.0026655,            0.006832,            0.006832,            0.006832
